,tags,Job type,Experience level,Role,Industry,Company size,Company type
0,"['mysql', 'lamp', 'php']",Full-time,,,,,
1,"['java', 'php']",Full-time,,,,,
2,"['c#', '.net', 'asp.net']",Full-time,,,,,
3,"['javascript', 'reactjs', 'ios']",Full-time,,Mobile Developer,,,
4,"['java', 'swing', 'javascript', 'hsqldb', 'c++']",Full-time,Mid-Level,,"High-Performance Computing, Simulation Software, Software Development",51–200 people,Private
5,"['qa', 'testing', 'automated-tests']",Full-time,,QA/Test Developer,"Agile Software Development, Education Technology, Web Technology",501–1k people,Public
6,"['web-services', 'http']",Full-time,,,"Health Care, Information Technology",10k+ people,Private
7,"['javascript', 'reactjs', 'node.js']",Full-time,,,,,
8,"['kubernetes', 'linux', 'devops', 'hadoop', 'cloud']",Internship,Student,DevOps,Information Technology,201–500 people,Private
9,"['project-management', 'java', 'angularjs']",Full-time,,Product Manager,,,
10,"['wordpress', 'html5', 'css']",Full-time,,,,,
11,"['routing', 'firewall', 'networking', 'switching', 'grpc']",Full-time,Mid-Level,System Administrator,Automotive,51–200 people,Private
12,"['mysql', 'php', 'javascript', 'html']",Full-time,"Mid-Level, Senior",Full Stack Developer,"Agile Software Development, Enterprise Software, Software Development / Engineering",11–50 people,Public
13,"['vb.net', 'java', 'c#']",Full-time,,,,,
14,"['ios', 'java', 'android']",Full-time,,"Mobile Developer, Product Manager",,,
15,"['reactjs', 'c#', 'asp.net']",Full-time,,,,,
16,"['.net-core', 'c#', '.net', 'azure', 'tdd']",Full-time,"Junior, Mid-Level, Senior",Product Manager,"Information Technology, Software Development",5k–10k people,Private
17,"['symfony2', 'php', 'angularjs']",Full-time,,,,,
18,"['reactjs', 'heroku', 'node.js']",Full-time,,,,,
19,"['javascript', 'salesforce', 'cloud']",Full-time,"Junior, Mid-Level, Senior",Frontend Developer,,,
20,"['javascript', 'mysql', 'php']",Full-time,,,,,
21,"['project-management', 'java', 'angularjs']",Full-time,,"Full Stack Developer, Product Manager",,,
22,"['s4', 'sql', 'database', 'sysadmin', 'cloud']",Full-time,"Student, Junior, Mid-Level",System Administrator,"AI Research, Data & Analytics, Industrial Automation",10k+ people,Public
23,"['c#', 'gsuite', 'azure', 'rest', 'javascript']",Full-time,"Junior, Mid-Level, Senior",Backend Developer,Education,11–50 people,Private
24,"['css', 'css3', 'php']",Full-time,,,,,
25,"['wordpress', 'laravel', 'php']",Full-time,,,,,
26,"['sql', 'testing', 'php']",Full-time,,QA/Test Developer,,,
27,"['web-services', 'node.js', 'angularjs']",Full-time,,,,,
28,"['java', 'android', 'python']",Full-time,,Mobile Developer,,,
29,"['java', 'android']",Full-time,,Mobile Developer,,,
30,"['typescript', 'reactjs', 'node.js', 'javascript', 'redux']",Full-time,Senior,,"Agile Software Development, Software Development / Engineering",11–50 people,Private
31,"['javascript', 'sql', 'linux']",Full-time,"Mid-Level, Senior",Full Stack Developer,"Financial Services, Financial Technology",51–200 people,Private
32,"['javascript', 'reactjs']",Full-time,,,,,
33,"['mysql', 'php', 'elasticsearch']",Full-time,,,,,
34,"['javascript', 'reactjs']",Full-time,,,,,
35,"['javascript', 'reactjs', 'agile', 'symfony']",Full-time,"Mid-Level, Senior",Frontend Developer,"eCommerce, Price Comparison, Travel & Tourism",51–200 people,VC Funded
36,"['qa', 'project-management']",Full-time,,"Product Manager, QA/Test Developer",,,
37,"['linux', 'tomcat', 'hadoop', 'apache', 'sysadmin', 'ansible']",Full-time,"Mid-Level, Senior",System Administrator,"Ad Tech, Online Media, Performance Marketing",51–200 people,Private
38,['amazon-web-services'],Full-time,"Lead, Manager",,Financial Technology,201–500 people,Private
39,['php'],Full-time,,,,,
40,"['java', 'java-ee']",Full-time,"Junior, Mid-Level",Backend Developer,"B2B, Software Development",11–50 people,Private
41,"['c#', 'ruby', 'python', 'java', 'javascript']",Contract,"Mid-Level, Senior, Lead",,Software Development / Engineering,51–200 people,VC Funded
42,"['vb.net', 'java', 'c++']",Full-time,,,,,
43,"['reactjs', 'mysql', 'ruby']",Full-time,,System Administrator,,,
44,"['laravel', 'php', 'reactjs']",Full-time,,,,,
45,"['reactjs', 'git', 'android']",Full-time,,Mobile Developer,,,
46,"['web-services', 'design']",Full-time,,System Administrator,,,
47,"['mysql', 'laravel', 'php']",Full-time,,,,,
48,"['java', 'kotlin', 'rest', 'android', 'angular']",Full-time,Mid-Level,"Backend Developer, Mobile Developer",,,
49,"['configurationmanager', 'linux', 'kvm', 'cloud']",Full-time,"Mid-Level, Senior",,"Computer Software, Enterprise Software, OpenStack",1k–5k people,Private
50,"['c#', 'html', 'java', 'azure', 'css']",Full-time,Senior,,,,
51,['scala'],Full-time,,,"Health Care, Information Technology",10k+ people,Private
52,"['sql', 'sql-server']",Full-time,,,,,
53,"['typescript', 'angularjs', 'html', 'javascript', 'css']",Internship,Student,Frontend Developer,"SaaS, Software Development",11–50 people,Private
54,"['vb.net', 'java', 'c#']",Full-time,,,,,
55,"['java', 'java-ee', 'spring']",Full-time,,Backend Developer,,,
56,"['testing', 'agile', 'automated-tests']",Full-time,,QA/Test Developer,Telecommunications,10k+ people,Public
57,"['azure', 'asp.net-web-api', 'windows']",Full-time,,,,,
58,"['javascript', 'sql']",Full-time,,,,,
59,"['linux', 'python', 'security', 'r', 'postfix']",Full-time,"Mid-Level, Senior","Backend Developer, DevOps",Cybersecurity,51–200 people,Private
60,"['mysql', 'php', 'javascript']",Full-time,,,,,
61,"['php', 'html', 'drupal', 'javascript', 'css']",Full-time,Mid-Level,Full Stack Developer,"Health Care, Information Technology, Software Development / Engineering",201–500 people,Private
62,"['ios', 'reactjs', 'android']",Full-time,,Mobile Developer,,,
