,Role,Tags,Additional
0,3D Graphics Driver Developer,"[' C/C++', ' 3D Graphics']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}"
1,Administrator Serwerów Aplikacyjnych Web,"[' Java', ' Oracle WebLogic', ' Oracle Application Server', ' JBoss', ' MS IIS', ' Tomcat', ' Apache', ' IBM WebSphere', ' Windows Server/Linux', ' Active Directory', ' Microsoft Exchange', ' Hyper-V', ' VMWARE', ' Microsoft System Center', ' Windows PowerShell', ' Bash']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
2,Administrator Systemów IT,"[' Windows Server(2008/2012/2016)', ' MSSQL', ' sql, cmd, bat, vbs', ' Linux(RedHat/Suse/Centos)', ' MS SQL, PostgreSQL, Oracle']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Employment contract - Yes  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
3,AEM Administrator,"[' Linux', ' Apache', ' AEM', ' Apache SOLR', ' Apache HTTP', ' Bamboo', ' English', ' German']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}"
4,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' RxJava', ' Retrofit', ' Gradle', ' Firebase', ' JSON', ' android', ' Android Studio', ' Dagger 2', ' English', ' Communication skills', ' Problem solving', ' Espresso', ' Mockito', ' GraphQL', ' Flutter SDK', ' Android Jetpack', ' Dart', ' JUnit']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-01-20 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (5000 PLN) ', ' Freedom to choose tools ': ' Yes '}"
5,Android Developer,"[' Java', ' Kotlin', ' Git', ' REST', ' Retrofit', ' Gradle', ' android', ' English', ' Team player', ' Problem solving', ' Proactivity', ' iOS', ' Jenkins', ' Firebase', ' SQL', ' Swift', ' Communication skills', ' Leadership skills']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
6,Android Developer,"[' Java', ' Kotlin', ' android']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}"
7,Android Developer,"[' Java', ' Kotlin', ' RxJava', ' android', ' Android Studio', ' IntelliJ IDEA', ' Google Play', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Marathon', ' Docker', ' Consul', ' Bitbucket', ' Bamboo']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}"
8,Android Developer,"[' Java', ' Kotlin', ' RxJava', ' Retrofit', ' android', ' MVP', ' English', ' Polish', ' Team player', ' Git', ' Gradle', ' Firebase', ' SQL', ' JSON']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}"
9,Android Developer,"[' REST', ' android', ' Android SDK', ' OOP', ' SQLite', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity', ' Java', ' Kotlin', ' Android NDK']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (4000 PLN) ', ' Freedom to choose tools ': ' No '}"
